시도교육청,교육지원청,학교명,학교급,설립구분,학교특성,개교기념일,학교도로명 주소,전화번호,홈페이지 주소,24년 학생수,24년 1인당 기본적 교육활동비,24년 1인당 선택적 교육활동비,24년 1인당 교육비,23년 학생수,23년 1인당 기본적 교육활동비,23년 1인당 선택적 교육활동비,23년 1인당 교육비,22년 학생수,22년 1인당 기본적 교육활동비,22년 1인당 선택적 교육활동비,22년 1인당 교육비
강원특별자치도교육청,강원특별자치도교육청,강원온라인학교,각종학교,공립,일반고등학교,20240901.0,강원특별자치도 원주시 지정면 송정로 2-1,033-732-2291,https://gwonline.gwe.hs.kr,,,,,,,,,,,,
강원특별자치도교육청,강원특별자치도홍천교육지원청,노천초등학교,각종학교,공립,,20190301.0,강원도 홍천군 영귀미면 공작산로 1220,033-434-9712,http://nocheon.gwe.es.kr,77.0,1617708.831168831,1676445.974025974,3294154.8051948054,90.0,1141436.111111111,1521561.6666666667,2662997.777777778,82.0,1128605.0,1099223.048780488,2227828.048780488
강원특별자치도교육청,강원특별자치도홍천교육지원청,해밀학교,각종학교,사립,,20180301.0,강원특별자치도 홍천군 남면 남노일로 720-8,033-433-8761,http://haemillschool.gwe.ms.kr,60.0,5507669.0,818110.6666666665,6325779.666666667,55.0,3808123.0909090904,978716.909090909,4786840.0,53.0,667506.037735849,1096907.1698113207,1764413.2075471696
강원특별자치도교육청,강원특별자치도교육청,가곡고등학교,고등학교,공립,일반고등학교,19861101.0,강원특별자치도 삼척시 가곡면 가곡천로 1427,033-570-6940,http://gagog.gwe.hs.kr,5.0,10968128.0,3859046.0,14827174.0,3.0,17170263.333333332,5207176.666666667,22377440.0,8.0,12293432.0,4180068.75,16473500.75
강원특별자치도교육청,강원특별자치도교육청,간동고등학교,고등학교,공립,일반고등학교,19821130.0,강원특별자치도 화천군 간동면 파로호로 945-21,033-440-1905,http://gandong.gwe.hs.kr,38.0,4870351.842105263,890756.5789473683,5761108.421052631,45.0,3121934.888888889,682458.8888888889,3804393.777777778,50.0,1341922.8,931191.8,2273114.6
강원특별자치도교육청,강원특별자치도교육청,갑천고등학교,고등학교,공립,일반고등학교,19661220.0,강원도 횡성군 갑천면 갑천로 17,033-342-9143,http://kach.gwe.hs.kr,46.0,2100119.565217391,3551169.1304347827,5651288.695652174,41.0,2284735.8536585364,3759832.195121952,6044568.048780488,26.0,2924459.230769231,4560566.923076923,7485026.153846154
강원특별자치도교육청,강원특별자치도교육청,강릉고등학교,고등학교,공립,일반고등학교,19620307.0,강원특별자치도 강릉시 강릉대로587번길 68,033-650-5134,http://ganggo.gwe.hs.kr,517.0,1185423.8723404256,1217512.649903288,2402936.522243714,516.0,3305670.0581395347,1030433.2945736434,4336103.352713178,510.0,1158130.4901960783,1269264.450980392,2427394.9411764704
강원특별자치도교육청,강원특별자치도교육청,강릉명륜고등학교,고등학교,사립,일반고등학교,19631214.0,강원특별자치도 강릉시 율곡로 2920-8,033-644-4011,http://grmr.gwe.hs.kr/,526.0,753626.6920152091,1101387.5855513308,1855014.27756654,524.0,969496.43129771,470475.66793893126,1439972.0992366413,505.0,953336.5742574256,342543.9405940594,1295880.5148514851
강원특별자치도교육청,강원특별자치도교육청,강릉문성고등학교,고등학교,사립,일반고등학교,19880301.0,강원도 강릉시 지변길 158,033-650-9555,http://kms.gwe.hs.kr/,648.0,1247577.6574074074,508782.4845679013,1756360.1419753088,646.0,732681.455108359,770044.5820433438,1502726.037151703,635.0,746345.5118110237,628151.9527559056,1374497.464566929
강원특별자치도교육청,강원특별자치도교육청,강릉여자고등학교,고등학교,공립,일반고등학교,19400320.0,강원특별자치도 강릉시 용지로 107,033-650-9900,http://gn-girl.gwe.hs.kr,680.0,1091945.5514705882,441234.9779411765,1533180.5294117646,685.0,668034.894890511,675501.3430656934,1343536.2379562045,697.0,615579.1334289813,452784.1176470588,1068363.25107604
